Speed (km/h),Acceleration (m/s²),Engine Power (kW),Regenerative Braking Power (kW),Fuel Consumption (L/100km)
40.0,0.3499910417622374,299.9928334097899,0.0,29.998261764232012
40.34999104176224,0.3499641681958039,302.5960165536503,0.0,30.26745030158792
40.69992833639161,0.3498835532304341,305.1546750194103,0.0,30.51363242655633
41.049758148223106,0.34974921406669424,307.6672920734897,0.0,30.77893421714425
41.399426764524996,0.34956117936792097,310.1323622815271,0.0,31.015720578336275
41.74888050695895,0.3493194892537801,312.54839256563935,0.0,31.26457752877198
42.098065743032556,0.34902419529134576,314.9139032571984,0.0,31.487722931163134
42.44692889754164,0.34867536048354353,317.22742914416426,0.0,31.721024422882106
42.79541646399964,0.34827305925504604,319.4875205122183,0.0,31.956047163628316
43.14347501605173,0.3478173774356499,321.6927441788978,0.0,32.17667869517019
43.49105121887094,0.34730841224108744,323.841684519873,0.0,32.376123629953604
43.838091840533906,0.3467462722512664,325.9329444865428,0.0,32.58035911089964
44.184543763373476,0.34613107738599425,327.9651466141882,0.0,32.76921660362895
44.530353995305894,0.34546295887816925,329.9369340198665,0.0,32.98738671140613
44.875469681129815,0.3447420592444246,331.8469713892336,0.0,33.16837666794662
45.219838113794744,0.3439685322532604,333.6939459515378,0.0,33.37303137579953
45.563406745636335,0.34314254289066426,335.4765684420041,0.0,33.52265041288708
45.90612319957607,0.3422642673232019,337.193574050819,0.0,33.7183596850373
46.24793528028274,0.3413338928586356,338.8437233580042,0.0,33.88322787505109
46.58879098529334,0.34035161790403023,340.4258032533925,0.0,34.04572315969553
46.9286385160908,0.33931765192138386,341.9386278409923,0.0,34.180710121929174
47.26742628913611,0.33823221538079906,343.38103932703063,0.0,34.339586969684554
47.6051029468524,0.33709553971117856,344.7519088909347,0.0,34.47722265907145
47.94161736855847,0.33590786724846566,346.0501375385687,0.0,34.5962605026967
48.27691868134933,0.33466945118146896,347.27465693706637,0.0,34.73536290781578
48.610956270921406,0.33338055549523204,348.42443023054494,0.0,34.84713611270067
48.94367979233979,0.33204145491200165,349.4984528360827,0.0,34.958656769997624
49.27503918074541,0.33065243482983675,350.4957532193541,0.0,35.0568601111469
49.60498466199947,0.3292137912587343,351.4153936491639,0.0,35.130279278241126
49.93346676326288,0.32772583075448125,352.25647093046354,0.0,35.22907244068282
50.26043632350843,0.3261888703501121,353.01811711513335,0.0,35.297718904699536
50.5858445039631,0.32460323748498254,353.69950018994825,0.0,35.3607993981158
50.909642798478394,0.3229692699315905,354.2998247412916,0.0,35.42979127611735
51.23178304382628,0.32128731572005975,354.8183325959815,0.0,35.45716517610761
51.552217429918514,0.319557733060293,355.25430343768096,0.0,35.547269207896
51.87089850994687,0.3177808902618935,355.6070553984782,0.0,35.545484705885315
52.1877792104423,0.31595716565183807,355.8759456251265,0.0,35.59138765895104
52.502812841250545,0.3140869474898764,356.0603708194386,0.0,35.59383664730031
52.815953105422054,0.31217063388170985,356.1597677524363,0.0,35.61663025575028
53.127154109013965,0.3102086326900029,356.1736137518728,0.0,35.616836351110926
53.43637037080206,0.3082013614432171,356.1014271627046,0.0,35.60691619769083
53.7435568319004,0.30614924724223513,355.942767780082,0.0,35.59235327627987
54.04866886528653,0.3040527266648887,355.6972372546042,0.0,35.581270060753866
54.35166228523018,0.30191224566835473,355.36447946945236,0.0,35.52438888457195
54.65249335662324,0.299728259489477,354.9441808891294,0.0,35.48095741063629
54.95111880420913,0.29750123254299154,354.4360708794761,0.0,35.45242302217426
55.24749582170922,0.2952316383176985,353.8399219987229,0.0,35.40036190924562
55.54158208084453,0.29291995927061976,353.1555502593575,0.0,35.31900319021274
55.83333574025046,0.2905666867191634,352.38281536058975,0.0,35.252419628926326
56.122715454282854,0.28817232073131294,351.5216208912177,0.0,35.161452530157526
56.40968038171309,0.2857373700138055,350.5719145026577,0.0,35.041864370791814
56.694190194310465,0.2832623517984736,349.5336880521621,0.0,34.94154171762001
56.976205085310035,0.28074779172659703,348.40697771590504,0.0,34.85984878774777
57.25568577776366,0.27819422373143965,347.19186407200567,0.0,34.72366528506646
57.532593532772914,0.2756021899189207,345.88847215333345,0.0,34.59863644033622
57.8068901576015,0.27297224044641055,344.49697147000154,0.0,34.45230168069854
58.078538013665735,0.2703049333998244,343.0175760016946,0.0,34.29391710435725
58.34750002440115,0.2676008346688654,341.4505441596284,0.0,34.12321131566736
58.613739683003466,0.2648605178205692,339.79617871830857,0.0,33.97089166523976
58.87722106004229,0.2620845639711362,338.05482671708876,0.0,33.799306539948496
59.13790881094574,0.259273561656034,336.226879331546,0.0,33.636331835297646
59.395768183354356,0.2564281066985039,334.3127717148931,0.0,33.42460594574967
59.650765024342746,0.25354880207642694,332.31298280946197,0.0,33.20620471555417
59.90286578750721,0.25063625778758336,330.2280351284069,0.0,33.02125252238213
60.15203753991791,0.24769109071333872,328.0584945077983,0.0,32.822397059807216
60.39824796893389,0.2447139244808021,325.80496982931584,0.0,32.57997482838198
60.64146538887952,0.24170538932351704,323.4681127137939,0.0,32.337830266163934
60.88165874758092,0.2386661219406463,321.04861718576973,0.0,32.09934161021957
61.11879763276081,0.2355967653546891,318.5472193093059,0.0,31.844515644250723
61.3528522782903,0.23249796876786277,315.9646967954899,0.0,31.61747093590288
61.583793570296535,0.22937038741706317,313.30186858177547,0.0,31.342772155379762
61.811593053124426,0.22621468242746445,310.5595943835264,0.0,31.057561216070262
62.036222935151464,0.22303152066485055,307.73877421818594,0.0,30.783325395729698
62.25765609445413,0.21982157458664986,304.8403479023679,0.0,30.470393764240953
